failure_mode_index,name_subsystem,Bop - BOP RDT,name_component,code_component,failure_mode_name,failure_mode_code,,,,,,diagnostic_coverage,,,,,,,,,tipo,exp_failure_rate,label_scale_parameter,labe_form_parameter,step_initial_failure_rate,step_increase_per_cicle,cicles_to_replace,step_cicle_size,constant_probability
139,Acoustic System Topside,AC_TS,Acoustic Fixed and Portable Units Topside,AC_FPTS_CCF,Acoustic System Fixed and Portable Units Topside common cause failures,AC_FPTS_CCF,AC_PTS_FTF_NO_CCF/AC_FTS_FTF_NO_CCF,,,2184,43680,,,,"0,9",1,,,,,Exponential,"0,00000096",,,,,,,
39,AMF Blue,AMF_B,AMF Cards A and B of Blue POD,AMF_BAB,AMF Cards A and B of Blue POD common cause failures,AMF_BAB_CCF,AMF_BA_FTF_NO_CCF/AMF_BB_FTF_NO_CCF,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,000000379",,,,,,,
43,AMF,AMF,AMF Cards A and B of Blue and Yellow PODs,AMF_BY,AMF Cards A and B of Blue and Yellow PODs common cause failures,AMF_BY_CCF,AMF_BA_FTF_NO_CCF/AMF_BB_FTF_NO_CCF/AMF_YA_FTF_NO_CCF/AMF_YB_FTF_NO_CCF,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,0000000758",,,,,,,
42,AMF Yellow,AMF_Y,AMF Cards A and B of Yellow POD,AMF_YAB,AMF Cards A and B of Yellow POD common cause failures,AMF_YAB_CCF,AMF_YA_FTF_NO_CCF/AMF_YB_FTF_NO_CCF,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,000000379",,,,,,,
107,Acoustic Valve Package,AVP,AVP Detent Valves for acoustic activation of BSR and CSR,AVP_BCSRDV,AVP Detent Valves for accoustic activation of BSR and CSR common cause failures,AVP_BCSRDV_CCF,AVP_BSRDV_FTO_NO_CCF/AVP_CSRDV_FTO_NO_CCF,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,000000209",,,,,,,
116,Acoustic Valve Package,AVP,AVP Solenoid Valves for acoustic activation of BSR and CSR,AVP_BCSRSL,AVP Solenoid Valves for accoustic activation of BSR and CSR common cause failures,AVP_BCSRSL_CCF,AVP_BSRSL_FTF_NO_CCF/AVP_CSRSL_FTF_NO_CCF,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,000000209",,,,,,,
104,Acoustic Valve Package,AVP,AVP Detent Valves for acoustic activation of UPR and LPR,AVP_ULPRDV,AVP Dentent Valves for accoustic activation of UPR and LPR common cause failures,AVP_ULPRDV_CCF,AVP_UPRDV_FTO_NO_CCF/AVP_LPRDV_FTO_NO_CCF,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,000000209",,,,,,,
113,Acoustic Valve Package,AVP,AVP Solenoid Valves for acoustic activation of UPR and LPR,AVP_ULPRSL,AVP Solenoid Valves for accoustic activation of UPR and LPR common cause failures,AVP_ULPRSL_CCF,AVP_UPRSL_FTF_NO_CCF/AVP_LPRSL_FTF_NO_CCF,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,000000209",,,,,,,
122,Battery,BAT,Power Supply 27VDC for AMF cards of Blue and Yellow PODs,BAT_BY27V,Power Supply 27VDC for AMF cards of Blue and Yellow POD common cause failures,BAT_BY27V_CCF,BAT_B27V_FTS_NO_CCF/BAT_Y27V_FTS_NO_CCF,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000005",,,,,,,
125,Battery Blue,BAT_B,Power Supply 9VDC A and B for AMF cards of Blue POD,BAT_BAB9V,Power Supply 9VDC A and B for AMF cards of Blue POD common cause failures,BAT_BAB9V_CCF,BAT_BA9V_FTS_NO_CCF/BAT_BB9V_FTS_NO_CCF,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000005",,,,,,,
129,Battery,BAT,Power Supply 9DC A and B for AMF cards of Blue and Yellow POD,BAT_BY9V,Power Supply 9VDC B for AMF cards of Blue and Yellow POD common cause failures,BAT_BY9V_CCF,BAT_BA9V_FTS_NO_CCF/BAT_BB9V_FTS_NO_CCF/BAT_YA9V_FTS_NO_CCF/BAT_YB9V_FTS_NO_CCF,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000001",,,,,,,
128,Battery Yellow,BAT_Y,Power Supply 9DC A and B for AMF cards of Yellow POD,BAT_YAB9V,Power Supply 9VDC B for AMF cards of Yellow POD common cause failures,BAT_YAB9V_CCF,BAT_YA9V_FTS_NO_CCF/BAT_YB9V_FTS_NO_CCF,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000005",,,,,,,
23,Blind Shear,BSR,BSR Shuttle Valves SV3 and SV4,BSR_SV34,BSR Shuttle Valves SV3 and SV4 common mode failure,BSR_SV34_CCF,BSR_SV3_FTO_NO_CCF/BSR_SV4_FTO_NO_CCF,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,000000209",,,,,,,
100,Conduit Line,CL,Conduit Lines of Blue and Yellow POD,CL_BY,Conduit Lines of Blue and Yellow PODs common cause failures,CL_BY_CCF,CL_B_LKG_NO_CCF/CL_Y_LKG_NO_CCF,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,00000078",,,,,,,
153,Connector,CN,Connector LMRP Shuttle Valves SV3 and SV4,CN_LMRP_SV34,Connector LMRP Shuttle Valves SV3 and SV4 common mode failure,CN_LMRP_SV34_CCF,CN_LMRP_SV3_FTF_NO_CCF/CN_LMRP_SV4_FTF_NO_CCF,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,000000209",,,,,,,
93,Communication Channel Blue,COMM_B,Communication channels A and B of Blue POD,COMM_BAB,Communication Channels A and B of Blue POD common cause failures,COMM_BAB_CCF,COMM_BA_FTF_NO_CCF/COMM_BB_FTF_NO_CCF,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,000000469",,,,,,,
97,Communication Channel,COMM,Communication channels A and B of Blue and Yelllow POD,COMM_BY,Communication channels A and B of Blue and Yelllow POD common cause failures,COMM_BY_CCF,COMM_BA_FTF_NO_CCF/COMM_BB_FTF_NO_CCF/COMM_YA_FTF_NO_CCF/COMM_YB_FTF_NO_CCF,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,0000000937",,,,,,,
96,Communication Channel Yellow,COMM_Y,Communication channels A and B of Yelllow POD,COMM_YAB,Communication Channels A and B of Yellow POD common cause failures,COMM_YAB_CCF,COMM_YA_FTF_NO_CCF/COMM_YB_FTF_NO_CCF,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,000000469",,,,,,,
29,Casing Shear,CSR,CSR Shuttle Valves SV3 and SV4,CSR_SV34,CSR Shuttle Valves SV3 and SV4 common mode failure,CSR_SV34_CCF,CSR_SV3_FTO_NO_CCF/CSR_SV4_FTO_NO_CCF,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,000000209",,,,,,,
84,Conduit Valve Package,CVP,CVP Conduit Isolation Valve of Blue and Yellow POD,CVP_BYCIV,CVP Conduit Isolation Valve of Blue and Yellow POD common cause failures,CVP_BYCIV_CCF,CVP_BCIV_FTO_NO_CCF/CVP_YCIV_FTO_NO_CCF,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,000000209",,,,,,,
87,Conduit Valve Package,CVP,CVP Check Valve of Blue and Yellow PODs,CVP_BYCV,CVP Check Valve of Blue and Yellow PODs common cause failures,CVP_BYCV_CCF,CVP_BCV_LKG_NO_CCF/CVP_YCV_LKG_NO_CCF,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,000000035",,,,,,,
90,Conduit Valve Package,CVP,CVP Solenoid Supply Valves of Blue and Yellow POD,CVP_BYSL,CVP Solenoid Supply Valves of Blue and Yellow POD common mode failures,CVP_BYSL_CCF,CVP_BSL_FTF_NO_CCF/CVP_YSL_FTF_NO_CCF,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,000000209",,,,,,,
61,POD,POD_BY,LAP Solenoid Valves of Blue and Yellow MODs,MOD_BYLAPSL,Blue and Yellow MODs Solenoid Valves to close LAP common cause failures,MOD_BYLAPSL_CCF,MOD_BLAPSL_FTF_NO_CCF/MOD_YLAPSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
70,POD,POD,LPR Solenoid Valves of Blue and Yellow MODs,MOD_BYLPRSL,Blue and Yellow MODs Solenoid Valves to close LPR common cause failures,MOD_BYLPRSL_CCF,MOD_BLPRSL_FTF_NO_CCF/MOD_YLPRSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
55,POD,POD,UAP Solenoid Valves of Blue and Yellow MODs,MOD_BYUAPSL,Blue and Yellow MODs Solenoid Valves to close UAP common cause failures,MOD_BYUAPSL_CCF,MOD_BUAPSL_FTF_NO_CCF/MOD_YUAPSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
147,Control Panel,PN,Driller and Toolpusher Control Panels,PN_DTCP,Driller and Toolpusher Control Panel common mode failures,PN_DTCP_CCF,PN_DCP_FTF_NO_CCF/PN_TCP_FTF_NO_CCF,,336,,43680,"0,6",,"0,9",,1,,x,48,,Exponential,"0,00000019",,,,,,,
46,POD,POD,BSR Solenoid Valves of Blue and Yellow PODs,POD_BYBSRSL,Blue and Yellow PODs Solenoid Valves  to close BSR common cause failures,POD_BYBSRSL_CCF,POD_BBSRSL_FTF_NO_CCF/POD_YBSRSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
73,POD,POD,Connector LMRP Solenoid Valves of Blue and Yellow PODs,POD_BYCLMRPSL,Blue and Yellow PODs Solenoid Valves  to unlock connector LMRP common cause failures,POD_BYCLMRPSL_CCF,POD_BCLMRPSL_FTF_NO_CCF/POD_YCLMRPSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
49,POD,POD,CSR Solenoid Valves of Blue and Yellow PODs,POD_BYCSRSL,Blue and Yellow PODs Solenoid Valves to close BSR common cause failures,POD_BYCSRSL_CCF,POD_BCSRSL_FTF_NO_CCF/POD_YCSRSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
58,POD,POD,LAP Solenoid Valves of Blue and Yellow PODs,POD_BYLAPSL,Blue and Yellow PODs Solenoid Valves to close LAP common cause failures,POD_BYLAPSL_CCF,POD_BLAPSL_FTF_NO_CCF/POD_YLAPSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
67,POD,POD,LPR Solenoid Valves of Blue and Yellow PODs,POD_BYLPRSL,Blue and Yellow PODs  Solenoid Valves to close LPR common cause failures,POD_BYLPRSL_CCF,POD_BLPRSL_FTF_NO_CCF/POD_YLPRSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
76,POD_Regulator,POD_REG,Regulator 1 Blue and Yellow,POD_BYREG1,Blue and Yellow Supply Regulators common cause failures,POD_BYREG1_CCF,POD_BREG1_FTF_NO_CCF/POD_YREG1_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000171",,,,,,,
79,POD_Regulator,POD_REG,Regulator 2 Blue and Yellow,POD_BYREG2,Blue and Yellow POD overpressure release regulators common cause failures,POD_BYREG2_CCF,POD_BREG2_FTF_NO_CCF/POD_YREG2_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000171",,,,,,,
52,POD,POD,UAP Solenoid Valves of Blue and Yellow PODs,POD_BYUAPSL,Blue and Yellow PODs Solenoid Valves to close UAP common cause failures,POD_BYUAPSL_CCF,POD_BUAPSL_FTF_NO_CCF/POD_YUAPSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
64,POD,POD,UPR Solenoid Valves of Blue and Yellow PODs,POD_BYUPRSL,Blue and Yellow PODs Solenoid Valves to close UPR common cause failures,POD_BYUPRSL_CCF,POD_BUPRSL_FTF_NO_CCF/POD_YUPRSL_FTF_NO_CCF,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,000000209",,,,,,,
132,Pressure Transmitter Blue,PT_B,Hydrostatic Head and Conduit Read back Pressure Transmitters of Blue POD,PT_BHHCR,Hydrostatic Head and Conduit Read back Pressure Transmitters of Blue POD fails to function,PT_BHHCR_CCF,PT_BHH_FTF_NO_CCF/PT_BCR_FTF_NO_CCF,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,000000078",,,,,,,
136,Pressure Transmitter,PT,Hydrostatic Head and Conduit Read back Pressure Transmitters of Blue and Yellow PODs,PT_BYHHCR,Hydrostatic Head and Conduit Read back Pressure Transmitters of Blue and Yellow PODs common cause failures,PT_BYHHCR_CCF,PT_BHH_FTF_NO_CCF/PT_BCR_FTF_NO_CCF/PT_YHH_FTF_NO_CCF/PT_YCR_FTF_NO_CCF,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,000000013",,,,,,,
135,Pressure Transmitter Yelllow,PT_Y,Hydrostatic Head and Conduit Read back Pressure Transmitters of Yellow POD,PT_YHHCR,Hydrostatic Head and Conduit Read back Pressure Transmitters of Yellow POD fails to function,PT_YHHCR_CCF,PT_YHH_FTF_NO_CCF/PT_YCR_FTF_NO_CCF,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,000000078",,,,,,,
32,SEM Blue,SEM_B,SEM A and B of Blue POD,SEM_BAB,SEM A and B of Blue POD common cause failures,SEM_BAB_CCF,SEM_BA_FTF_NO_CCF/SEM_BB_FTF_NO_CCF,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,000000379",,,,,,,
36,SEM,SEM,SEM A and B of Blue and Yellow POD,SEM_BY,SEM A and B of Blue and Yellow POD common cause failures,SEM_BY_CCF,SEM_BA_FTF_NO_CCF/SEM_BB_FTF_NO_CCF/SEM_YA_FTF_NO_CCF/SEM_YB_FTF_NO_CCF,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,0000000758",,,,,,,
35,SEM Yellow,SEM_Y,SEM A and B of Yellow POD,SEM_YAB,SEM A and B of Yellow POD common cause failures,SEM_YAB_CCF,SEM_YA_FTF_NO_CCF/SEM_YB_FTF_NO_CCF,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,000000379",,,,,,,
3,Annular Preventers,AP,Upper and Lower Annular Preventers,AP,Upper and Lower Annular Preventers common cause failures,AP_CCF,UAP_FTC_NO_CCF/LAP_FTC_NO_CCF,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,000000385",,,,,,,
6,Annular Preventers,AP,UAP and LAP Shuttle Valves SV,ULAP_SV,UAP and LAP Shuttle Valves SV common cause failures,ULAP_SV_CCF,UAP_SV_FTO_NO_CCF/LAP_SV_FTO_NO_CCF,168,336,,43680,,"0,9","0,9",,1,,,,,Probability,"0,000000209",,,,,,,"0,001"
9,Pipe Rams,PR,Upper and Lower Pipe Rams,PR,Pipe Rams common cause failures,PR_CCF,UPR_FTC_NO_CCF/LPR_FTC_NO_CCF,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000023",,,,,,,
12,Pipe Rams,PR,UPR and LPR Shuttle Valves SV1,ULPR_SV1,UPR and LPR Shuttle Valves SV1 common cause failures,ULPR_SV1_CCF,UPR_SV1_FTO_NO_CCF/LPR_SV1_FTO_NO_CCF,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,000000209",,,,,,,
15,Pipe Rams,PR,UPR and LPR Shuttle Valves SV2,ULPR_SV2,UPR and LPR Shuttle Valves SV2 common cause failures,ULPR_SV2_CCF,UPR_SV2_FTO_NO_CCF/LPR_SV2_FTO_NO_CCF,168,336,,43680,,"0,9",,,1,,,,,Exponential,"0,000000209",,,,,,,
4,Annular Preventers,AP,UAP Shuttle Valve SV,UAP_SV,UAP Shuttle Valve SV Modular PODs fails to open,UAP_SV_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,168,,,,Step,,,,"0,000038",20,5,336,
5,Annular Preventers,AP,LAP Shuttle Valve SV,LAP_SV,LAP Shuttle Valve SV Modular PODs fails to open,LAP_SV_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,168,,,,Weibull,,250000,"1,4",,,,,
16,Annular Preventers Pipe Ram,CCF,Annular Preventer Pipe Rams,AP_PR,UAP LAP UPR and LPR  common cause failures,AP_PR_CCF,UAP_FTC_NO_CCF/LAP_FTC_NO_CCF/UPR_FTC_NO_CCF/LPR_FTC_NO_CCF,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,000000385",,,,,,,
